Atributo	Detalle
Precio	S/  1,099.00
Garantía del proveedor	1 año
Marca	SAMSUNG
Modelo	HW-B550/PE
Formatos de reproduccion	AAC, AIFF, FLAC, MP3, OGG, WAV
Sistema de sonido	DTS Virtual:X, Dolby Digital 2.0
Canales de Audio	2.1
ecualizador	Game, Standard, Adaptive Lite, Bass Bost, Virtual Surround
Parlantes	5
Entrada de audio	Cable óptico
Entradas USB	1
Puerto HDMI	1
Bluetooth integrado	Sí
NFC integrado	No
Consumo	25 W
Alto	59.4 cm
Ancho	86.0 cm
Profundidad	7.5 cm
Peso	7.2 kg
Alto empaque	45.0 cm
Ancho empaque	92.5 cm
Profundidad empaque	23.5 cm
Peso con empaque	9.2 kg
Incluye	Control remoto
